"player_names","player_ids"
"Amine Harit",322668
"Johan Gastien",236561
"Ilan Kebbal",422186
"Aleksandr Golovin",244560
"Arnaud Kalimuendo-Muinga",384005
"Alexander Nübel",260770
"Joris Chotard",380645
"Gaël Kakuta",70291
"Vincent Pajot",90061
"Alfred Gomis",97213
"Pol Lirola",323240
"Timothée Kolodziejczak",44417
"Ivo Grbic",377309
"Thilo Kehrer",255167
"Leo Petrot",301330
"Wylan Cyprien",123873
"Moreto Cassamá",373460
"Hwang Ui-Jo",127571
"Enock Kwateng",288891
"Souleyman Doumbia",328463
"Jean-Louis Leca",34182
"Fábio",44031
"Osman Bukari",401019
"Jonathan Ikoné",322094
"Thomas Foket",115882
"Benoît Badiashile",365406
"Thiago Mendes",117776
"Florent Ogier",90108
"Vincent Le Goff",82350
"Adrien Truffert",398301
"Farid Boulaya",294501
"Malo Gusto",403850
"Burak Yilmaz",23282
"Lilian Brassier",398931
"Gauthier Gallon",234371
"Leonardo Balerdi",362788
"Konrad De la Fuente",397468
"Issa Kaboré",399955
"Flavius Daniliuc",398415
"Hugo Magnetti",330614
"Terem Moffi",400505
"Arnaud Nordin",328288
"Jordan Lotomba",345527
"Cédric Hountondji",134905
"Serhou Guirassy",236506
"Alexandre Oukidja",34008
"El Bilal Touré",391527
"Ismail Jakobs",349699
"Sepe Elye Wahi",407661
"Julian Draxler",96449
"Dennis Appiah",91088
"Bamba Dieng",410337
"Mama Baldé",345396
"Harold-Desty Moukoudi",279169
"Stian Gregersen",132450
"Massadio Haïdara",94892
"Pape Gueye",399047
"Dylan Bronn",321150
"Junior Sambia",243069
"Nathanaël Mbuku",380614
"Salis Abdul Samed",422189
"Djibril Sidibé",10454
"Maxime Estève",414233
"Otávio",146764
"Oualid El Hajjam",247801
"Batista Mendy",391316
"Pape Sarr",403859
"Gideon Mensah",402749
"Azzedine Ounahi",392361
"Jérémy Le Douaron",398398
"Andreaw Gravillon",337825
"Ibrahima Niane",342542
"Amadou Mvom Onana",400815
"Opa Nguette",115837
"Boubacar Traore",386612
"Georginio Wijnaldum",33568
"Calvin Stengs",328987
"Zaydou Youssouf",330832
"Jim Allevinah",422188
"Javairô Dilrosun",363083
"Gabriel Gudmundsson",330549
"Bradley Locko",422187
"Etienne Green",409735
"Dion Lopy",412902
"Moritz Jenz",425018
"Jodel Dossou",139502
"Morgan Schneiderlin",29544
"Yusuf Yazici",303158
"Vincent Manceau",234365
"Houboulang Mendes",319474
"Charles Traoré",302695
"Yvann Maçon",391839
"Mauro Icardi",106964
"Samuel Moutoussamy",342571
"Jimmy Giraudon",116829
"Ouparine Djoco",422193
"Jean Eudes Aholou",139111
"Sébastien Corchia",71293
"David Costa",400193
"Yoann Touzghar",104216
"Majeed Waris",84462
"Timothée Pembélé",399773
"Roli Pereira De Sa",262414
"Eliot Matazo",398373
"Ignatius Ganago",344645
"Dylan Chambost",421996
"Jean-Phillipe Krasso",396585
"Rayan Cherki",386153
"Timothy Weah",353991
"Mohamed-Ali Cho",399014
"Youssouf Koné",143193
"Mathias Pereira Lage",303314
"Pierrick Capelle",128361
"Paul Nardi",108105
"Ricardo Mangas",389108
"Irvin Cardona",333419
"Danijel Petkovic",110019
"Benoît Costil",29586
"Adil Aouchiche",382491
"Igor Silva",303017
"Lucas Gourna-Douath",393137
"Marcus Coco",256539
"Angel Gomes",338497
"Mexer",121720
"Quentin Boisgard",301247
"Dango Ouattara",422183
"Stéphane Bahoken",101904
"Romain Hamouma",78023
"Enzo Ebosse",320243
"Adrian Grbic",285992
"Yannick Cahuzac",23353
"Jordan Tell",335686
"Sékou Mara",402855
"Nicholas Gioacchini",425107
"Luis Henrique",388567
"Myron Boadu",357081
"Willem Geubbels",345987
"Fransérgio",322660
"Jonathan Iglesias",236512
"M'Baye Niang",58761
"Léo Leroy",422238
"Pierre-Yves Hamel",328982
"Béni Makouana",422239
"Domenico Berardi",118542
"Paulo Dybala",114863
"Lorenzo Pellegrini",148546
"Dusan Vlahovic",315369
"Sergej Milinkovic-Savic",288767
"Gianluca Caprari",98567
"Tammy Abraham",317506
"Rafael Leão",349207
"Ciro Immobile",70141
"Bremer",339875
"Juan Cuadrado",44868
"Hakan Calhanoglu",110373
"Edin Dzeko",24845
"Victor Osimhen",298510
"Duván Zapata",41073
"Fabián Ruiz",294193
"Nicolò Barella",148684
"Marcelo Brozovic",87449
"Antonio Candreva",34112
"André-Frank Zambo Anguissa",349561
"José Luis Palomino",125810
"Ivan Perisic",70524
"Lorenzo Insigne",83390
"Mattia Zaccagni",149029
"Theo Hernández",303115
"Giovanni Di Lorenzo",122469
"Luis Muriel",84190
"Lautaro Martínez",299344
"Ruslan Malinovskyi",295456
"Kalidou Koulibaly",90880
"Felipe Anderson",93026
"Antonin Barak",131042
"Henrikh Mkhitaryan",28421
"Olivier Giroud",24444
"Luis Alberto",85077
"Gerard Deulofeu",98317
"Sandro Tonali",343501
"Zlatan Ibrahimovic",3281
"Alessandro Bastoni",329665
"Bryan Cristante",109149
"Federico Chiesa",322971
"Mário Rui",106931
"Fikayo Tomori",317507
"Giovanni Simeone",133839
"Junior Messias",401098
"Sergio Romero",33831
"Mario Pasalic",129903
"Teun Koopmeiners",343308
"Pedro",44055
"Nicolás González",345322
"Nicolás Domínguez",334653
"Danilo",88300
"Franck Kessié",277269
"Merih Demiral",362555
"Hamed Traorè",362551
"Matthijs de Ligt",320374
"Petar Stojanovic",112788
"Josip Brekalo",298792
"Josip Ilicic",43194
"Amir Rrahmani",295358
"Milan Skriniar",302918
"Manuel Locatelli",273539
"Lucas Martínez",329854
"Álvaro Morata",91213
"Davide Calabria",260498
"Gianluca Scamacca",302650
"Ibañez",341525
"Giorgio Chiellini",9991
"Jordan Veretout",101017
"Ismaël Bennacer",259102
"Giacomo Raspadori",371497
"Milan Djuric",33649
"Mike Maignan",141646
"David Ospina",36745
"Sasa Lukic",297395
"Wilfried Stephane Singo",371063
"Remo Freuler",302691
"Samir Handanovic",9972
"Davide Frattesi",331425
"Nikola Milenkovic",319785
"Adrien Rabiot",116609
"Adrien Tameze",124721
"Samir",131337
"Jakub Kiwior",424462
"Simone Bastoni",142375
"Stanislav Lobotka",111892
"Rafael Tolói",64075
"Piotr Zielinski",118169
"Domenico Criscito",13895
"Denzel Dumfries",322153
"Ivan Provedel",118667
"Guglielmo Vicario",147863
"Wojciech Szczesny",73379
"Marco Faraoni",33875
"Sebastiano Luperto",255292
"Alessio Romagnoli",118158
"Giacomo Bonaventura",40384
"Milan Badelj",42435
"Maxime Lopez",288883
"Chris Smalling",71345
"Giorgos Kyriakopoulos",248013
"Weston McKennie",338275
"Szymon Zurkowski",377183
"Lukasz Skorupski",77397
"Aaron Hickey",402367
"Stefan de Vrij",82399
"Johan Vásquez",425115
"Francesco Caputo",67834
"Musa Barrow",350076
"Beto",380546
"Pierre Kalulu",391836
"Omar Colley",320582
"Nicolò Rovella",369688
"Nedim Bajrami",423448
"Luiz Felipe",294744
"Andrea Pinamonti",317544
"Pietro Terracciano",106277
"Marten de Roon",85070
"Marko Arnautovic",34693
"Leonardo Bonucci",20664
"Lucas Torreira",248109
"João Pedro",86935
"Matteo Pessina",362600
"Dries Mertens",23100
"Morten Thorsby",128839
"Hirving Lozano",318511
"Mattia De Sciglio",107275
"Manolo Gabbiadini",74921
"Mattias Svanberg",282348
"Bartosz Bereszynski",84827
"Koray Günter",116944
"Tommaso Pobega",402123
"Koffi Djidji",109835
"Riccardo Orsolini",286828
